name,price
"Lenovo IdeaPad 3 Intel Core i7 12th Generation 1255U 15.6"" FHD Thin & Portable Laptop - 8GB DDR4 RAM - 512GB NVMe SSD - Arctic Grey","Rs. 84,999"
Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,"Rs. 107,799"
Lenovo V15 Intel Celeron Processor  4 GB RAM 128 GB SSD 15.6 inch Black - OTE,"Rs. 40,000"
CHUWI GemiBook 13 Windows 10 Laptop With Free Bagä¸¨8GB LPDDR4ä¸¨256GB SSDä¸¨2K Resolution IPS Display With Bag + Free Gift,"Rs. 46,999"
"Lenovo IdeaPad 3 Intel Core i5 12th Generation 1235U 15.6"" FHD Thin & Light Laptop for Students & Business - 8GB DDR4 RAM - 256GB NVMe SSD - Arctic Grey","Rs. 69,999"
"Asus VivoBook 14  E410M 11th Gen Intel Celeron -N4020 Processor, 4GB DDR4 RAM, 256GB SSD Storage 14-inch FHD Display with Windows 11 Star Blue Color","Rs. 36,500"
Acer Aspire 5 2023 Intel Core i7 13th Gen 1355U – 8GB DDR5 RAM – 512GB NVMe SSD Storage – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey,"Rs. 96,999"
"MSI GF63 9SCSR I5 9TH GEN/ 8GB RAM/ 256GB SSD / GTX 1650TI / 15.6"" FHD 144Hz","Rs. 125,000"
Lenovo V15 Laptop Intel Celeron | 4 GB RAM| 256 GB SSD|15.6-inch Display| Black - OTE,"Rs. 37,500"
"Acer Travelmate P2 Intel Core i7 11th Gen 14"" FHD Display Laptop - 8GB DDR4 RAM - 512GB SSD  Storage - NVIDIA GeForce MX330 2GB Dedicated Graphics - Shale Black","Rs. 86,999"
"Dell G5 15 G5500 2020 Gaming Laptop I7 10Th Gen / GTX 1660Ti 6GB / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz Display","Rs. 173,000"
"Lenovo IP1 Core i3 12th gen/ 8GB RAM/256GB SSD/14"" / Win 11 Genuine","Rs. 51,990"
"HP Laptop 250 G9/ Intel Core i5 12th Gen/8GB RAM /512GB NVMe SSD /Backlit Keyboard/ 15.6"" FHD","Rs. 75,734"
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD )","Rs. 33,999"
Mi Notebook Pro Qhd+ Intel Core I5 11Th Gen H Series 14 Inch 1.4Kg Thin & Light Laptop 16Gb Ram Ddr4 512Gb Pcie Nvme Ssd Iris Xe Graphics Win 11,"Rs. 109,999"
Apple MacBook Air 13-inch M1 256GB - Oliz Store,"Rs. 139,900"
"Dell Latitude E7270 Laptop I5-6th Gen 256 GB SSD 8 GB RAM 12.5 Screen"" Ultrabook","Rs. 37,999"
"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display","Rs. 170,490"
"Dell Vostro 3400 i3 11th Gen/4gb RAM/256gb SSD/ 14"" HD Laptop","Rs. 45,044"
"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop","Rs. 63,999"
"Acer Aspire 5/Core i3 11th Gen/4GB RAM/128GB SSD/1TB HDD/15.6""FHD/WIN10 Genuine","Rs. 54,499"
Dell Inspiron 3511 I5 Laptop 11 Gen Processor  8 GB RAM 512 GB SSD 2 GB Graphics  1 Year Warranty Silver or Black - OTE,"Rs. 105,000"
"Asus vivobook m415da -(ryzen 3 / 4gb ram / 256gb ssd/ 14"" fhd ips display/ transparent silver/slate grey / bagpack / mouse","Rs. 64,444"
"Dell Laptop Vostro 3400 | Intel Core i3 11th Gen | 8GB RAM | 256GB SSD | 14"" HD Display","Rs. 46,999"
"Acer Nitro 5 2022 / i5 12th Gen 12500H / RTX 3050 / 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz Display","Rs. 120,000"
Lenovo V15 AMD Ryzen 5 5500U Processor / 8GB DDR4 RAM / 256GB SSD Storage / AMD Radeon Graphics / Windows 11 Home / 15.6″ ( 1920 x 1080 ) FHD Screen,"Rs. 67,999"
Apple MacBook Air M2/8C CPU/8C GPU/8GB/256GB with 1 year Insurance (Breakage) - EvoStore,"Rs. 174,900"
Dell Vostro 3510 i5-1135G7  11th Gen  8GB RAM  256 GB SSD  Intel UHD Graphic  15.’’6 FHD,"Rs. 70,999"
HP 15-EF2127  RYZEN 5 5500U  8GB RAM  512GB SSD  15.6ââ FHD Edge To Edge Display,"Rs. 68,000"
Asus Vivobook 14 E410MA - N4020  4GB  256SSD  Intel UHD  HD TN Panel,"Rs. 42,500"
"Acer Aspire 5 (12th Gen i5-1235U, NVIDIA MX550, 15.6"" FHD) Genuine Laptop","Rs. 89,999"
"CHUWI MiniBook X 10.8"" 2K Retina Full Touchscreen 360 Degree YOGA  Intel 11th Gen. Celeron N5100 Upto 2.8GHz  Windows 11  12GB DDR4, 512GB SSD With Free Gift","Rs. 67,499"
"GateWay GWTN156 Ryzen 7 3700U I 8GB RAM I 512GB SSD I 15.6"" FHD IPS I Ultra Slim Laptop","Rs. 79,999"
Dell Inspiron 15 5510 - i5-11300H | 8GB RAM | 256GB SSD | Intel® Iris® Xe Graphics | FHD | Office,"Rs. 110,900"
"Lenovo Ideapad 3 Ryzen 5 5500U /8GB RAM/256GB SSD/14"" FHD","Rs. 66,990"
"Hp 14 I3-11th Gen 8Gb Ram 256Gb PCIe NVMe SSD 14"" FHD Display","Rs. 60,000"
Dell Vostro 3400 I5 11 Generation  8 GB RAM  256 GB SSD 14 inch Display - OTE,"Rs. 80,000"
"Lenovo Ip 3 Laptop/ 4GB/  1 TB HD/ 15.6"" Intel Celeron","Rs. 40,999"
"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display","Rs. 85,000"
Acer Swift 3 SF314-43 Ryzen 7 5700U 8GB RAM 512GB SSD 14' Display,"Rs. 99,999"
"Acer Swift 3 Core / i7 11th Gen / 8GB RAM  / 256GB / 14"" FHD / Win 10","Rs. 78,999"
Lenovo Ideapad Flex 5 14ARE05 2 in 1 AMD Ryzen 3 4300U 4GB Ram  128 GB SSD  14”FHD 360 degree touch screen display,"Rs. 56,500"
ACER Aspire 5 11 Gen I5 Processor / 8 GB RAM / 256 GB SSD NVMe / 14 inch FHD Display OTE Laptop,"Rs. 105,000"
HP 255 G8 Ryzen 5 | AMD Graphics| 8GB RAM | 256GB SSD | 15.6″ FHD,"Rs. 59,999"
"CHUWI GemiBook X Laptop,15.6"" IPS Display  Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz  8G DDR4, 256GB SSD  Windows 11 With Bag + Free Gift","Rs. 52,699"
"Acer Aspire 3 Core i5 11th gen/ 12GB RAM/512GB SSD/15.6"" FHD/ Win 11","Rs. 67,499"
Acer Aspire 3 A315-59G i5 12th Gen/8GB RAM 256GB SSD+1TB HDD 15.6″ FHD NVIDIA MX550 2 GB Graphic Laptop,"Rs. 92,990"
"CHUWI GemiBook Pro 14"" Laptop 8GB LPDDR4 256GB SSD  2K Resolution IPS Display Windows 10 Home Metal Thin Body, Light And Portable With Bag + Free Gift","Rs. 50,499"
"Lenovo IP3i / Core i3 11th Gen / 4GB RAM / 256GB SSD NVME / 15.6"" FHD / Win 11","Rs. 48,990"
"HP Pavilion Laptop 15-eh1066AU 49N15PA 8 GB RAM (2 x 4 GB), 512 GB SSD, 15.6""","Rs. 101,500"
HP Pavilion X360 14 inch 2 In 1 Core i5 1035G1 8GBRAM 256GB SSD Windows 10,"Rs. 99,999"
"Dell Vostro 3510 / i5-1135G7 11th Gen / 8GB RAM / 512GB SSD / Intel UHD Graphic 15.6"" FHD","Rs. 75,000"
"Asus 14 Laptop Celeron N4020 4 GB RAM 128 GB SSD 14"" Display - OTE","Rs. 55,000"
Hp Envy x360 Intel 12th Gen i7 8GB RAM 512GB SSD 13.3 Inch Touch Windows 11 - OTE,"Rs. 165,000"
"Dell Inspiron 3511/Core i5 11th Gen/16GB/512GB Nvme/15.6""FHD/Win 10 Genuine","Rs. 87,999"
Dell Inspiron 14 5425 AMD Ryzen 5 5625U  8GB  512SSD  Radeon Graphics  FHD  Win 11,"Rs. 109,900"
Apple Macbook Air M1 8/256GB,"Rs. 134,000"
"Lenovo V15 Laptop/ Celeron/ 4GBRAM/1TBHDD/15.6""","Rs. 37,990"
"Dell Latitude 3410 i5 10th Gen 8GB RAM 256 GB SSD 14""","Rs. 88,000"
Dell Latitude 7490 Core I7 8th Gen 8 GB RAM 256 GB SSD Windows 10,"Rs. 49,999"
"Dell Vostro 3520 Core i5 12th Gen /8GB RAM/512GBSSD/15.6""FHD/ Nvidia MX550 2GB GFX","Rs. 76,499"
Dell Inspiron 7300 i7 11th Gen / 16GB RAM / 1TB SSD / 13.3'' FHD Display,"Rs. 155,000"
Acer Aspire 5 2022 Intel Core I5 12 Gen 8 GB RAM/512 GB 15.6 inch Display - OTE,"Rs. 105,000"
"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz","Rs. 227,777"
